Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
First Day of School,08/13/2026,,08/13/2026,,True,"First day of school; begin first semester. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Labor Day,09/07/2026,,09/07/2026,,True,"Labor Day; holiday for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Teacher Planning Day,09/21/2026,,09/21/2026,,True,"Teacher planning day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
End of First Grading Period,10/16/2026,,10/16/2026,,True,"End of first grading period; first semester. Students are in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Beginning of Second Grading Period,10/19/2026,,10/19/2026,,True,"Beginning of second grading period; first semester. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Professional Learning Day,11/03/2026,,11/03/2026,,True,"Teacher planning day; District-wide Professional Learning Day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Veterans Day,11/11/2026,,11/11/2026,,True,"Veterans' Day; holiday for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Thanksgiving Break,11/23/2026,,11/27/2026,,True,"November 23-25: recess days. November 26: Thanksgiving holiday. November 27: recess day for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Teacher Planning Day,12/18/2026,,12/18/2026,,True,"Teacher planning day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Winter Recess,12/21/2026,,01/01/2027,,True,"Winter recess for students and employees (December 21, 2026 through January 1, 2027). Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
End of Second Grading Period,01/14/2027,,01/14/2027,,True,"End of second grading period; first semester. Students are in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Teacher Planning Day,01/15/2027,,01/15/2027,,True,"Teacher planning day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Martin Luther King Jr. Day,01/18/2027,,01/18/2027,,True,"Dr. Martin Luther King, Jr.'s birthday; holiday for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Beginning of Third Grading Period,01/19/2027,,01/19/2027,,True,"Beginning of third grading period; second semester. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Presidents Day,02/15/2027,,02/15/2027,,True,"All Presidents Day; holiday for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Teacher Planning Day,03/10/2027,,03/10/2027,,True,"Teacher planning day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
End of Third Grading Period,03/19/2027,,03/19/2027,,True,"End of third grading period; second semester. Students are in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Spring Recess,03/22/2027,,03/26/2027,,True,"Spring recess for students and employees (March 22-26, 2027). Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Teacher Planning Day,03/29/2027,,03/29/2027,,True,"Teacher planning day; no students in school. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Beginning of Fourth Grading Period,03/30/2027,,03/30/2027,,True,"Beginning of fourth grading period; second semester. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
No School — Memorial Day,05/31/2027,,05/31/2027,,True,"Memorial Day; holiday for students and employees. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Last Day of School,06/03/2027,,06/03/2027,,True,"Last day of school; end fourth grading period; second semester. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),08/19/2026,,08/19/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),08/26/2026,,08/26/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),09/02/2026,,09/02/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),09/09/2026,,09/09/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),09/16/2026,,09/16/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),09/23/2026,,09/23/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),09/30/2026,,09/30/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),10/07/2026,,10/07/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
