Hero Name,Skill Name,Skill Type,Star 1 Effect,Star 2 Effect,Star 3 Effect,Star 4 Effect,Star 5 Effect,Verified,Notes
Sera,Arrow of Destiny,Active (CS Magic),+30% bonus Magic DMG,Attack limit increased to 12 times,+70% bonus Magic DMG,Attack limit increased to 16 times,+120% bonus Magic DMG,Yes,Base: 16 hits × 127% Magic random; +1 hit per Magic Amplification stack @ Lv33
Sera,Arrow of the Butterfly,Active (Magic),+30% bonus Magic DMG,+70% bonus Magic DMG,+120% bonus Magic DMG,+185% bonus Magic DMG,+270% bonus Magic DMG,Yes,628.4% Magic single @ Lv32; crit grants 1–3 Amplification stacks
Sera,Shadow Sprite,Passive,+3% Magic DMG dealt,+3% Magic DMG dealt,+3% Magic DMG dealt,+3% Magic DMG dealt,+3% Magic DMG dealt,Yes,Base +30.4% Magic DMG @ Lv32; ~45% from stars (~75%+ total @ 5★)
Dragonic,Thunder Breath,Active (Physical),+30% bonus Physical DMG,+70% bonus Physical DMG,+120% bonus Physical DMG,+185% bonus Physical DMG,+270% bonus Physical DMG,Yes,461.8% ATK single @ Lv24
Dragonic,Overload,Active (Buff),−2% more Physical DMG reduction,Duration extended to 2 turns,−2% more Physical DMG reduction,Effect applies to all allies,−2% more Physical DMG reduction,Yes,Base −26.6% Physical DMG to allies @ Lv22
Dragonic,Thunderous Wrath,Passive,−2% all damage taken (front row),−2% all damage taken,−2% all damage taken,−2% all damage taken,−2% all damage taken,Yes,Base −16.4% all damage @ Lv24; ~26%+ total @ 5★
Monica,Desert Ember,Active (Magic),+30% bonus Magic DMG,+70% bonus Magic DMG,+120% bonus Magic DMG,+185% bonus Magic DMG,+270% bonus Magic DMG,Yes,555.2% Magic single; splashes to back-row if target is front row
Monica,Savage Swoop,Active (Magic),+30% bonus Magic DMG,Attack limit increased to 4 times,+70% bonus Magic DMG,Attack limit increased to 5 times,+120% bonus Magic DMG,Yes,3 hits × 348% Magic random @ Lv22
Monica,Feline Fury,Passive,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,Yes,Base +27.8% CRIT @ Lv19; ~42.8%+ total @ 5★
Yord,Travel Invitation,Active (Buff),+10% CRIT Rate to buff,—,—,Duration extended to 2 turns,+2% ATK on buff,Yes,Base +14.55% ATK all allies @ Lv17
Yord,Lingering Echo,Passive,+2 Speed; −1% dmg to highest-ATK ally,+2 Speed; −1% reduction,+2 Speed; −1% reduction,+2 Speed; −1% reduction,+2 Speed; −1% reduction,Yes,Base +35 Speed; −11% dmg to top DPS @ Lv20
Yord,Universal Chord,Active (Magic),+30% bonus Magic DMG,+70% bonus Magic DMG,+120% bonus Magic DMG,+185% bonus Magic DMG,+270% bonus Magic DMG,Yes,402.7% Magic single @ Lv17
Fenixia,Incinerate,Active (Magic),+30% bonus Magic DMG,+70% bonus Magic DMG,+120% bonus Magic DMG,+185% bonus Magic DMG,+270% bonus Magic DMG,Yes,481.5% Magic; +2 Flame Overload per Human ally @ battle start
Fenixia,Flame Spiral,Active (AoE Magic),+30% bonus Magic DMG,+70% bonus Magic DMG,+120% bonus Magic DMG,+185% bonus Magic DMG,+270% bonus Magic DMG,Yes,253.7% Magic to ALL enemies @ Lv17
Fenixia,Fireborn,Passive,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,+3% CRIT Rate,Yes,Base +27.2% CRIT @ Lv16; ~42%+ @ 5★
Andrew,Ultimate Duel,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,361.2% ATK single @ Lv15 (4★)
Andrew,Despair's Backlash,Active (AoE),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+120% bonus Physical DMG AoE (5★ awaken),Yes,78% ATK all enemies + −12.45% enemy Magic DMG @ Lv13
Andrew,Ode to Darkness,Passive,+4% Magic DMG reduction,+4% Magic DMG reduction,+4% Magic DMG reduction,+4% Magic DMG reduction,+4% Magic DMG reduction (5★ awaken),Yes,Base −29.2% Magic DMG taken @ Lv13; ~33%+ @ 5★
Crystal,Ferry Soul,Active (Physical),+30% bonus Physical DMG,+70% bonus Physical DMG,+120% bonus Physical DMG,+185% bonus Physical DMG,+270% bonus Physical DMG,Yes,522.8% ATK single @ Lv20
Crystal,Shadowy Soul,Active (Execute),+30% bonus Physical DMG,+70% bonus Physical DMG,+120% bonus Physical DMG,+185% bonus Physical DMG,+270% bonus Physical DMG,Yes,1372.7% ATK single; recast at 50% on kill @ Lv24
