X-Clash Heroes — Full Tier List (31 Heroes)
All skills verified from Google Drive screenshots + Xyland s39 PDF. Updated Jul 20 2026.

Hero,Official Title,Tier,Faction,Role,Dmg Type,Skill Name (max lv 30),Skill Description & ★1-★5 Effects
Alvarez,Shadow of Exile,S+,Human,DPS (Physical),Physical,Revolving Blades,620% Physical single (346.6% @ Lv13). | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Identify Weakness,+23.6% Physical DMG dealt. | Star upgrades: ★1-5: +3% per star
,,,,,,Terror Blade,10×43% Physical random; −5% DEF stack. | Star upgrades: ★1: +30%; ★2: 15 hits; ★3: +70%; ★4: 20 hits; ★5: +120%
,,,,,,Azure Dagger,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Andrew,Knight of Death,S+,Human,Tank,Physical,Ultimate Duel,619% Physical single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Ode to Darkness,−40% Magic DMG taken. | Star upgrades: ★1-5: +4% per star
,,,,,,Despair's Backlash,144% Physical all enemies; −15% enemy Magic DMG dealt. | Star upgrades: ★1: +30%; ★2: −3% debuff; ★3: +70%; ★4: −3%; ★5: +120%
,,,,,,Avenging Warsong,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Belial,Cursed Soul of the Dark,S+,Nightfall,DPS (Physical),Physical,Malice Curse,605% Physical lowest-HP. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Endless Trepidation,+30% CRIT. | Star upgrades: ★1-5: +3% per star
,,,,,,Otherworld Distortion,399% Physical to 3 random. | Star upgrades: ★1: +30%; ★2: +3% ATK; ★3: +70%; ★4: +6% ATK; ★5: +120%
,,,,,,Offering Grimoire,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Crystal,Soul Ferrier,S+,Nightfall,DPS (Physical),Physical,Ferry Soul,522.8% Physical single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Shadowy Soul,1372.7% Physical; recast 50% on kill. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Soul Protection,Back-row Forest +24.75% monster DMG. | Star upgrades: ★1-5: +3% per star
,,,,,,Guiding Lamp,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Daphne,Rose's Watch / Rose's Wrath,S+,Nightfall,DPS (Magic),Magic,Tragic Finale,605% Magic random. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Sweet Blade,+30% Magic DMG dealt. | Star upgrades: ★1-5: +3% per star
,,,,,,First Bloom,510% Magic back-row priority. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Love Exchange,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Dragonic,Dragonborn,S+,Forest,Tank,Physical,Thunder Breath,Deals 511% ATK Physical DMG single enemy. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Thunderous Wrath,Front-row −17% all damage taken during battle. | Star upgrades: ★1-5: −2% per star
,,,,,,Overload,−29% physical DMG to front-row allies 1 turn. | Star upgrades: ★1: −2%; ★2: 2 turns; ★3: −2%; ★4: all allies; ★5: −2%
,,,,,,Thunder Mark,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Fenixia,Fiery Plume,S+,Human,DPS (Magic),Magic,Incinerate,605% Magic single; Flame Overload per Human ally. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Fireborn,+30% CRIT. | Star upgrades: ★1-5: +3% per star
,,,,,,Flame Spiral,320% Magic all enemies. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Phoenix Wing,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
