Hero,Official Title,Tier,Faction,Role,Skill Slot Label,Skill Description
Harold,Tekken Chief,A,Human,DPS,Skill 1 (Basic Attack),"Ruthless Fist — Deals 156% Physical DMG to a single enemy.
  ★1: +15% physical DMG
  ★2: +30% physical DMG
  ★3: +50% physical DMG
  ★4: +75% physical DMG
  ★5: +100% physical DMG
  (★5 adds up to +100% bonus physical DMG on top of base skill scaling)"
Harold,Tekken Chief,A,Human,DPS,Skill 2 (Active Skill),"Emergency Restoration — 143.1% Physical to 2 enemies.
  ★1: +15%
  ★2: 3 targets
  ★3: +30%
  ★4: +50%
  ★5: +75%"
Harold,Tekken Chief,A,Human,DPS,Skill 3 (Innate Passive),"Fury Stance — HP/ATK/DEF +5%.
  Innate — max level 1/1, no star scaling."
Moga,Garlic Samurai,A,Forest,DPS,Skill 1 (Basic Attack),"Log Toss — Deals 236.1% Physical DMG to a single enemy.
  ★1: +15% physical DMG
  ★2: +30% physical DMG
  ★3: +50% physical DMG
  ★4: +75% physical DMG
  ★5: +100% physical DMG
  (★5 adds up to +100% bonus physical DMG on top of base skill scaling)"
Moga,Garlic Samurai,A,Forest,DPS,Skill 2 (Combat Skill / CS),"Log Power — 160% Physical to 2 enemies.
  ★1: +15%
  ★2: 3 targets
  ★3: +30%
  ★4: +50%
  ★5: +75%"
Moga,Garlic Samurai,A,Forest,DPS,Skill 3 (Innate Passive),"Purifying Dew — HP/ATK/DEF +5%.
  Innate — max level 1/1, no star scaling."
Romano,Holy Inquisitor,A,Nightfall,DPS,Skill 1 (Basic Attack),"Cleanse Heresy — Deals 158.8% Physical DMG to a single enemy.
  ★1: +15% physical DMG
  ★2: +30% physical DMG
  ★3: +50% physical DMG
  ★4: +75% physical DMG
  ★5: +100% physical DMG
  (★5 adds up to +100% bonus physical DMG on top of base skill scaling)"
Romano,Holy Inquisitor,A,Nightfall,DPS,Skill 2 (Combat Skill / CS),"Piercing Fists — 144.9% Physical to 2 enemies.
  ★1: +15%
  ★2: 3 targets
  ★3: +30%
  ★4: +50%
  ★5: +75%"
Romano,Holy Inquisitor,A,Nightfall,DPS,Skill 3 (Innate Passive),"Unyielding Fortitude — HP/ATK/DEF +5%.
  Innate — max level 1/1, no star scaling."
Torun,Berserk Axe,A,Forest,DPS,Skill 1 (Basic Attack),"Berserk Axe — Deals 156% Physical DMG to a single enemy.
  ★1: +15% physical DMG
  ★2: +30% physical DMG
  ★3: +50% physical DMG
  ★4: +75% physical DMG
  ★5: +100% physical DMG
  (★5 adds up to +100% bonus physical DMG on top of base skill scaling)"
Torun,Berserk Axe,A,Forest,DPS,Skill 2 (Active Skill),"Rising Wrath — 150.4% Physical to 2 enemies.
  ★1: +15%
  ★2: 3 targets
  ★3: +30%
  ★4: +50%
  ★5: +75%"
Torun,Berserk Axe,A,Forest,DPS,Skill 3 (Innate Passive),"Triumphant Howl — HP/ATK/DEF +5%.
  Innate — max level 1/1, no star scaling."
Aaron,Howling Wolf King,S,Forest,Support,Skill 1 (Basic Attack),"Mesmer Talon — Deals 126.7% Magic DMG to a single enemy.
  ★1: +20% magic DMG
  ★2: +45% magic DMG
  ★3: +70% magic DMG
  ★4: +100% magic DMG
  ★5: +150% magic DMG
  (★5 adds up to +150% bonus magic DMG on top of base skill scaling)"
Aaron,Howling Wolf King,S,Forest,Support,Skill 2 (Passive/Battle Skill),"Lupine Nature — −21.5% monster damage taken.
  ★1: +4% additional
  ★2: +4% additional
  ★3: +4% additional
  ★4: +4% additional
  ★5: (see in-game — often requires 5★ awaken)"
Aaron,Howling Wolf King,S,Forest,Support,Skill 3 (Active Skill),"Scar of Misfortune — Front-row −11% monster damage 1 turn.
  ★1-3: +2%
  ★4: 2 turns
  ★5: +2%"
Aaron,Howling Wolf King,S,Forest,Support,Skill 4 (Bond / Awaken Passive),"Ravenous Pack — HP/ATK/DEF +10%.
  Unlocks 4★ — bond passive unlock."
