Hero,Faction,Recommended_Row,Skill_Slot,Skill_Name,Skill_Type,Main_Stat_Scale,Effect_Summary,Star_Gates,Boss_Tier,PvP_Tier,Team_Synergy_Note,Verified,Source
Sera,Forest,Back,Skill 1,Arrow of Destiny,Active (CS Magic),ATK / Magic,16 hits × 127% Magic DMG random (Lv33 MAX). +1 hit per Magic Amplification stack. 4★→16 hits; 5★: +120% bonus DMG.,★★★★★ (5★ = +120% DMG),SS,SS,Pair Yord buffer; more Forest allies = higher Amplification cap,Yes,User screenshot CP 3874489 @5★
Sera,Forest,Back,Skill 2,Arrow of the Butterfly,Active (Magic),ATK / CRIT / Magic,628.4% Magic DMG single (Lv32). On crit: 1–3 Magic Amplification stacks; limit = Forest allies on team. 5★: +270% bonus DMG.,★★★★★ (5★ = +270% DMG),SS,SS,Pair Yord buffer; more Forest allies = higher Amplification cap,Yes,User screenshot @5★
Sera,Forest,Back,Skill 3,Shadow Sprite,Passive,Magic DMG,+30.4% Magic DMG dealt (Lv32→30.6%). Each star +3%. 5★: ~45%+ bonus (~75%+ total).,★★★★★ (+3% per star),SS,SS,Pair Yord buffer; more Forest allies = higher Amplification cap,Yes,User screenshot @5★
Sera,Forest,Back,Skill 4,TBD,Active/Pasive,ATK,Level 1 — not yet invested,—,SS,SS,Pair Yord buffer; more Forest allies = higher Amplification cap,No,User screenshot
Yord,Forest,Back,Skill 1,Travel Invitation,Active (Buff),ATK / CRIT / Buff,All allies +14.55% ATK for 1 turn (Lv17→14.7%). 2★: +10% CRIT Rate; 4★: 2 turns; 5★: +2% ATK.,★★★★★ (+2% ATK / +10% CRIT / 2 turns),SS,SS,Mandatory buffer; buffs all DPS; protects highest-ATK ally,Yes,User screenshot CP 2769428 @5★
Yord,Forest,Back,Skill 2,Lingering Echo,Passive,Speed / Buff,+35 Speed; reduces damage to highest-ATK ally by 11% (Lv20). Each tier +2 Speed +1% reduction.,★★★★★ (4 tiers unlocked),SS,SS,Mandatory buffer; buffs all DPS; protects highest-ATK ally,Yes,User screenshot @5★
Yord,Forest,Back,Skill 3,Universal Chord,Active (Magic),ATK,Magic DMG: 402.7% ATK (Lv17→410.8%) single enemy. 5★: +270% bonus Magic DMG.,★★★★★ (5★ = +270% DMG),SS,SS,Mandatory buffer; buffs all DPS; protects highest-ATK ally,Yes,User screenshot @5★
Yord,Forest,Back,Skill 4,TBD,Active/Pasive,ATK,Level 1 — not yet invested,—,SS,SS,Mandatory buffer; buffs all DPS; protects highest-ATK ally,No,User screenshot
Dragonic,Forest,Front,Skill 1,Thunder Breath,Active,ATK,Physical DMG: 461.8% ATK (Lv24→470%) single enemy. 5★: +270% bonus Physical DMG.,★★★★★ (5★ = +270% DMG),C,A,Front tank; skip boss unless out-DPSes carries,Yes,User screenshot CP 3609199 @5★
Dragonic,Forest,Front,Skill 2,Overload,Active (Buff),HP / Buff,−26.6% Physical DMG to front-row allies 1 turn (Lv22). 2★→2 turns; 4★→all allies; 5★: +2% more.,★★★★★ (5★ = +2% reduction),C,A,Front tank; skip boss unless out-DPSes carries,Yes,User screenshot @5★
Dragonic,Forest,Front,Skill 3,Thunderous Wrath,Passive,HP / DMG Immune,Front-row −16.4% all damage taken (Lv24→16.5%). Each star +2%. 5★: ~26%+ total reduction.,★★★★★ (+2% per star),C,A,Front tank; skip boss unless out-DPSes carries,Yes,User screenshot @5★
Dragonic,Forest,Front,Skill 4,TBD,Active/Pasive,ATK,Level 1 — not yet invested,—,C,A,Front tank; skip boss unless out-DPSes carries,No,User screenshot
Monica,Forest,Back,Skill 1,Desert Ember,Active (Magic),ATK / Penetration,555.2% Magic DMG single (Lv24); splashes to back-row if target is front row. 5★: +270% bonus Magic DMG.,★★★★★ (5★ = +270% DMG),SS,SS,Stack CRIT with Yord; Forest back row for Crystal Soul Protection,Yes,User screenshot CP 3221797 @5★
Monica,Forest,Back,Skill 2,Savage Swoop,Active (Magic),ATK,3 hits × 348% Magic random (Lv22→354%). 2★→4 hits; 4★→5 hits; 5★: +120% bonus DMG.,★★★★★ (5★ = +120% DMG),SS,SS,Stack CRIT with Yord; Forest back row for Crystal Soul Protection,Yes,User screenshot @5★
Monica,Forest,Back,Skill 3,Feline Fury,Passive,CRIT,+27.8% CRIT (Lv19→28%). Each star +3%. 5★: ~42.8%+ total CRIT.,★★★★★ (+3% CRIT per star),SS,SS,Stack CRIT with Yord; Forest back row for Crystal Soul Protection,Yes,User screenshot @5★
Monica,Forest,Back,Skill 4,TBD,Active/Pasive,ATK,Level 1 — not yet invested,—,SS,SS,Stack CRIT with Yord; Forest back row for Crystal Soul Protection,No,User screenshot
