Hero Name,Skill Slot,Skill Name,Skill Type,Effect Summary (Max/Lv30 baseline),Scales With,Unlock Level,Star Gate,Data Source,Needs Screenshot Update
Sera,Skill 1,Arrow of Destiny,Active (CS Magic),"16 hits × 127% Magic DMG random (Lv33 MAX). +1 hit per Magic Amplification stack. 4★→16 hits; 5★: +120% bonus DMG.",ATK / Magic,33,★★★★★ (5★ = +120% DMG),User screenshot CP 3874489 @5★,No
Sera,Skill 2,Arrow of the Butterfly,Active (Magic),"628.4% Magic DMG single (Lv32). On crit: 1–3 Magic Amplification stacks; limit = Forest allies on team. 5★: +270% bonus DMG.",ATK / CRIT / Magic,32,★★★★★ (5★ = +270% DMG),User screenshot @5★,No
Sera,Skill 3,Shadow Sprite,Passive,"+30.4% Magic DMG dealt (Lv32→30.6%). Each star +3%. 5★: ~45%+ bonus (~75%+ total).",Magic DMG,32,★★★★★ (+3% per star),User screenshot @5★,No
Sera,Skill 4,TBD,Active/Pasive,Level 1 — not yet invested,ATK,1,—,User screenshot,Yes
Yord,Skill 1,Travel Invitation,Active (Buff),"All allies +14.55% ATK for 1 turn (Lv17→14.7%). 2★: +10% CRIT Rate; 4★: 2 turns; 5★: +2% ATK.",ATK / CRIT / Buff,17,★★★★★ (+2% ATK / +10% CRIT / 2 turns),User screenshot CP 2769428 @5★,No
Yord,Skill 2,Lingering Echo,Passive,"+35 Speed; reduces damage to highest-ATK ally by 11% (Lv20). Each tier +2 Speed +1% reduction.",Speed / Buff,20,★★★★★ (4 tiers unlocked),User screenshot @5★,No
Yord,Skill 3,Universal Chord,Active (Magic),"Magic DMG: 402.7% ATK (Lv17→410.8%) single enemy. 5★: +270% bonus Magic DMG.",ATK,17,★★★★★ (5★ = +270% DMG),User screenshot @5★,No
Yord,Skill 4,TBD,Active/Pasive,Level 1 — not yet invested,ATK,1,—,User screenshot,Yes
Dragonic,Skill 1,Thunder Breath,Active,"Physical DMG: 461.8% ATK (Lv24→470%) single enemy. 5★: +270% bonus Physical DMG.",ATK,24,★★★★★ (5★ = +270% DMG),User screenshot CP 3609199 @5★,No
Dragonic,Skill 2,Overload,Active (Buff),"−26.6% Physical DMG to front-row allies 1 turn (Lv22). 2★→2 turns; 4★→all allies; 5★: +2% more.",HP / Buff,22,★★★★★ (5★ = +2% reduction),User screenshot @5★,No
Dragonic,Skill 3,Thunderous Wrath,Passive,"Front-row −16.4% all damage taken (Lv24→16.5%). Each star +2%. 5★: ~26%+ total reduction.",HP / DMG Immune,24,★★★★★ (+2% per star),User screenshot @5★,No
