Hero,Official Title,Tier,Faction,Role,Dmg Type,ATK (Lv150),HP (Lv150),DEF (Lv150),Troop Cap,Data Source
Alvarez,Shadow of Exile,S+,Human,DPS (Physical),Physical,26.4K,266.6K,3.5K,350,Xyland s39 PDF
Andrew,Knight of Death,S+,Human,Tank,Physical,15.1K,579.1K,4.1K,350,Xyland s39 PDF
Belial,Cursed Soul of the Dark,S+,Nightfall,DPS (Physical),Physical,28.0K,245.8K,3.5K,350,Xyland s39 PDF
Crystal,Soul Ferrier,S+,Nightfall,DPS (Physical),—,Pending,Pending,Pending,—,Pending
Daphne,Rose's Watch / Rose's Wrath,S+,Nightfall,DPS (Magic),Magic,29.3K,231.2K,3.4K,350,Xyland s39 PDF
Dragonic,Dragonborn,S+,Forest,Tank,Physical,15.8K,545.1K,4.0K,350,Xyland s39 PDF
Fenixia,Fiery Plume,S+,Human,DPS (Magic),Magic,26.7K,260.6K,3.5K,350,Xyland s39 PDF
Kataras,Demon Masked Asura,S+,Nightfall,Tank,Physical,18.7K,425.8K,3.9K,350,Xyland s39 PDF
Mirana,Spectral Rakkhasa,S+,Nightfall,DPS (Physical),Physical,28.4K,241.1K,3.5K,350,Xyland s39 PDF
Monica,Shadowhunt,S+,Forest,DPS (Magic),Magic,30.3K,221.6K,3.4K,350,Xyland s39 PDF
Rexar,Winter's Wrath,S+,Forest,Tank,Physical,15.6K,553.4K,4.0K,350,Xyland s39 PDF
Sera,Bow of Tomorrow / Arrow of Tomorrow,S+,Forest,DPS (Magic),Magic,28.8K,237.2K,3.5K,350,Xyland s39 PDF
Sophia,Spirit of Ripples,S+,Human,DPS (Magic),Magic,28.0K,245.1K,3.5K,350,Xyland s39 PDF
Sparta,God Slayer,S+,Nightfall,Tank,Physical,16.4K,513.9K,4.0K,350,Xyland s39 PDF
Valkyr,Valiant Warrior,S+,Human,Tank,Physical,16.0K,531.4K,4.0K,350,Xyland s39 PDF
Yord,Traveler of the Forest Sea,S+,Forest,Support (Magic),Magic,25.0K,284.5K,3.6K,350,Xyland s39 PDF
Aaron,Howling Wolf King,S,Forest,DPS (Physical),—,Pending,Pending,Pending,—,Pending
Ali,Electric Boxer,S,Human,DPS (Physical),—,Pending,Pending,Pending,—,Pending
Chakiss,Dragon Warrior(ess),S,Nightfall,Tank,—,Pending,Pending,Pending,—,Pending
Cthylla,Deep Terror,S,Nightfall,DPS (Magic),—,Pending,Pending,Pending,—,Pending
Denise,Bard,S,Human,Support,—,Pending,Pending,Pending,—,Pending
Edric,Spore Warrior,S,Forest,DPS / Debuff,—,Pending,Pending,Pending,—,Pending
Faerie,Merciful Tree Spirit,S,Forest,Support,—,Pending,Pending,Pending,—,Pending
Garuda,Dragonslayer,S,Human,Tank / DPS,—,Pending,Pending,Pending,—,Pending
Marissa,Spear of Revenge,S,Nightfall,DPS (Physical),—,Pending,Pending,Pending,—,Pending
Reina,Enchanting Witch,S,Nightfall,Support / Control,—,Pending,Pending,Pending,—,Pending
Verna,Starlit Princess,S,Forest,DPS / Support (WB),—,Pending,Pending,Pending,—,Pending
Harold,Tekken Chief,A,Human,Tank,—,Pending,Pending,Pending,—,Pending
Moga,Garlic Samurai,A,Forest,DPS (Physical),—,Pending,Pending,Pending,—,Pending
Romano,Holy Inquisitor,A,Nightfall,Tank / Control,—,Pending,Pending,Pending,—,Pending
Torun,Berserk Axe,A,Forest,DPS (Physical),—,Pending,Pending,Pending,—,Pending
