Hero Name,Overall Tier,F2P PvP Tier,F2P World Boss Tier,Spender PvP Tier,Spender World Boss Tier,Campaign Tier,Zombie Siege Tier,Peak Arena Tier,Investment ROI,F2P Recommended,Spender Recommended
Sera,S+,SS,SS,SS,SS,S+,B,S+,Excellent,YES,YES (early; Monica replaces late)
Yord,S+,SS,SS,SS,SS,S+,A,SS,Excellent,YES,YES
Monica,S+,—,—,SS,SS,A,B,SS,Excellent (spender),NO,YES
Sophia,S+,—,—,SS,SS,A,B,SS,Excellent (spender),NO,YES
Daphne,S+,—,—,SS,SS,B,A,SS,High (spender),NO,YES
Fenixia,S+,S,S,SS,SS,S+,B,S,High,F2P YES,YES
Dragonic,S+,S,A,S,A,S+,A+,A,Good (F2P tank),YES,Situational
Andrew,S+,S,A,A,A,A,A,A,Good (Day 60),YES,Situational
Crystal,S+,S,SS,B,SS,B,A,S,High (WB),YES,YES (WB only)
Verna,S+,S,SS,B,SS,B,A,S,High (WB),YES,YES (WB only)
Valkyr,S+,—,—,SS (if available),—,A,A,SS,High (spender),NO,YES
Sparta,S+,—,—,S,—,B,B,S,Medium (technical),NO,Situational PvP
Rexar,S+,—,—,S,—,B,B,S,Medium (Forest PvP),NO,YES (Forest comp)
Alvarez,S+,—,—,—,—,B,B,A,Medium,No,Verify
Belial,S+,—,—,—,—,B,B,A,Medium,No,Verify
Kataras,S+,—,—,—,—,B,B,A,Medium,No,Verify
Mirana,S+,—,—,—,—,B,B,A,Medium,No,Verify
Chakiss,S,—,—,—,—,B,B,B,Low-Medium,Filler ONE of Chakiss/Edric,No
Edric,S,—,—,—,—,B,B,B,Low-Medium,Filler ONE of Chakiss/Edric,No
Denise,S,—,—,—,—,A,B,B,Medium,PvE support,No
Faerie,S,—,—,—,—,A,A,B,Medium,Healer/support,No
Garuda,S,—,—,—,—,B,B,B,Low-Medium,Filler,No
Marissa,S,—,—,—,—,B,B,B,Low,Filler,No
Reina,S,—,—,—,—,B,B,B,Low,Filler,No
Aaron,S,—,—,—,—,C,C,C,Low,No,No
Ali,S,—,—,—,—,C,C,C,Low,No,No
Cthylla,S,—,—,—,—,B,B,B,Low-Medium,No,Situational
Harold,A,—,—,—,—,C,C,C,Very Low,No,No
Moga,A,—,—,—,—,C,C,C,Very Low,No,No
Romano,A,—,—,—,—,C,C,C,Very Low,No,No
Torun,A,—,—,—,—,C,C,C,Very Low,No,No
