Hero Name,Owned (Y/N),Current Level,Star Rating,Ascension Stage,Gear Quality (White/Green/Blue/Purple/Gold),My Power Score,Skill 1 Lv,Skill 2 Lv,Skill 3 Lv,Ultimate Lv,Notes / Next Upgrade Goal
Sera,,,,,,,,,,,
Yord,,,,,,,,,,,
Dragonic,,,,,,,,,,,
Monica,,,,,,,,,,,
Sophia,,,,,,,,,,,
Fenixia,,,,,,,,,,,
Andrew,,,,,,,,,,,
Crystal,,,,,,,,,,,
Verna,,,,,,,,,,,
Daphne,,,,,,,,,,,
Sparta,,,,,,,,,,,
Valkyr,,,,,,,,,,,
Rexar,,,,,,,,,,,
Alvarez,,,,,,,,,,,
Belial,,,,,,,,,,,
Kataras,,,,,,,,,,,
Mirana,,,,,,,,,,,
Aaron,,,,,,,,,,,
Ali,,,,,,,,,,,
Chakiss,,,,,,,,,,,
Cthylla,,,,,,,,,,,
Denise,,,,,,,,,,,
Edric,,,,,,,,,,,
Faerie,,,,,,,,,,,
Garuda,,,,,,,,,,,
Marissa,,,,,,,,,,,
Reina,,,,,,,,,,,
Harold,,,,,,,,,,,
Moga,,,,,,,,,,,
Romano,,,,,,,,,,,
Torun,,,,,,,,,,,
